artist and title,wks,t10,pk,x?,PkStreams,total,artist name,song name,lyrics
Niack - Na Raba Toma Tapão,4,,129,,5177117,18835662,Niack,Na Raba Toma Tapão,"Marquin, Marquin WF O brabo de BH Mas esse é o Marquin WF Sucesso com mulherada É, o Niack chega, embraza E dá choque no seu sistema Hoje eu te levo pra casa Só não me arruma problema Tu pediu pra eu te botar E eu boto com pressão Então vai, já se prepara Na raba toma tapão Se pre, se pre, se prepara, na raba toma tapão Se prepara, para, para, na raba toma tapão Sem negligência, vai, que o pai tá boladão Marquin, Marquin WF, que te bota com pressão Bota, bota com pressão, bota com pressão, bota com pressão Bota com pressão, bota, bota com pressão Se prepara, para, para, na raba toma tapão Vai, toma (Toma, toma) Toma, toma Vai, toma Toma, toma, toma Então vai, então vai Então vai, loira safada, oi, bota a jaca pra tremer Quero ver tu balançando quando o grave bater Toma, toma, toma Toma, toma, toma Vai, toma, toma, toma Toma, toma, toma, toma Vai, toma, toma, toma Não se acanhe no talento, eu sei que vai querer descer Nesse beat ritimado que te faz se envolver Sem negligência, vai, que o pai tá boladão Marquin, Marquin WF que te bota com pressão É, o Niack chega, embraza e dá choque no seu sistema Hoje eu te levo pra casa, só não me arruma problema Tu pediu pra eu te botar e eu boto com pressão Então vai, já se prepara, na raba toma tapão Se pre, se pre, se prepara, na raba toma tapão Se prepara, para, para, na raba toma tapão Sem negligência, vai, que o pai tá boladão Marquin, Marquin WF, que te bota com pressão Bota, bota com pressão, bota com pressão, bota com pressão Bota com pressão, bota, bota com pressão Se prepara, para, para, na raba toma tapão Vai, toma (Toma, toma) Toma, toma Vai, toma Toma, toma, toma Então vai, então vai Então vai, loira safada, oi, bota a jaca pra tremer Quero ver tu balançando quando o grave bater Toma, toma, toma Toma, toma, toma, toma Vai, toma, toma, toma Toma, toma, toma, toma Vai, toma, toma, toma Não se acanhe no talento, eu sei que vai querer descer Nesse beat ritimado que te faz se envolver Sem negligência, vai, que o pai tá boladão Marquin, Marquin WF, que te bota com pressão"
The Weeknd - Wake Me Up,1,,37,,18834021,18834021,The Weeknd,Wake Me Up,"All I have is my legacy I've been losing my memory No afterlife, no other side I'm all alone when it fades to black Fades to black No afterlife, no other side I'm all alone when it fades Play smile, live fully When life is hard I know death's easy Whoa-oh-oh, oh The sun is never rising I don't know if it's day or night (or night) And I can't find the horizon (horizon) I'm running out of time (time) Are you real, or are you an illusion? 'Cause I fear your love's my delusion Wake me up, come find me It feels like I'm dying Wake me up, these demons Keep creeping, don't fear 'em Wake me up Ooh, ooh-ooh It's coming to the wire I'm feeling like I'm paralyzed Cleanse me with your fire (hey) Open up my eyes Are you real (are you real), or are you an illusion? 'Cause I fear your love's my delusion Wake me up, come find me It feels like I'm dying (ooh-whoa) Wake me up, these demons (these demons) Keep creeping (keep creeping), don't fear 'em (ooh-whoa) Wake me up, 'cause I'm tryin' (I'm tryin') This sleep is (this sleep is) paralyzing (oh) Wake me up, 'cause I'm dreaming (I'm dreaming) It feels so (hey) damn real (hey) Wake me up Oh-oh-oh-oh Oh-oh-oh"
Kendrick Lamar - Black Panther,3,,47,,9589477,18815671,Kendrick Lamar,Black Panther,"Wait King of my city, king of my country, king of my homeland King of the filthy, king of the fallen, we living again King of the shooters, looters, boosters, and ghettos poppin' King of the past, present, future, my ancestors watchin' King of the culture, king of the soldiers, king of the bloodshed King of the wisdom, king of the ocean, king of the respect King of the optimistics and dreamers that go and get it King of the winners, district, and geniuses with conviction King of the fighters, king of the fathers, king of the belated King of the answer, king of the problem, king of the forsaken King of the empathy, you resent me, king of remorse King of my enemies, may they father feed, I rejoice King of the skyscrapers, dodging haters, broke religion Nine faces, go against 'em, I erased 'em with precision I embrace them with collision Kings did it, king vision, Black Panther, King Kendrick All hail the king, I dropped a million tears I know several responsibilities put me here I don't pedal backwards but I live old-fashioned And the lens that I'm looking through Won't prescribe me the right glasses, masses are now free Ashes I'm dumpin' out, 'bout to spread 'cross all seas Sisters and brother in unison, not because of me Because we don't glue with the opposition, we glue with peace And I'm still gon' fuck up your organization if any beef What do you stand for? Are you an activist? What are your city plans for? Are you an accident? Are you just in the way? Your native tongue contradictin' what your body language say Are you a king or you jokin'? Are you a king or you posin'? Are you a king or you smokin' bud rocks to keep you open? Because the king don't cry, king don't die King don't lie, king give heart, king get by, king don't fall Kingdom come, when I come, you know why King, king, king, king, I am T'Challa!"
Mora - DONDE SE APRENDE A QUERER?,2,,74,,10892507,18804901,Mora,DONDE SE APRENDE A QUERER?,"Mi cuarto sigue de luto Ya ni los placere' me los disfruto Tu recuerdo va de pasajero cuando conduzco Le abrí las puertas al amor, pero no cupo Y desde que estoy solo conmigo es que discuto Y me pregunto a ver, aunque es mejor ni saber Porque mientra' menos se sepa, menos te va a doler Me cansé de comprar recuerdos que después los ibas a devolver ¿Dónde se aprеnde a querer? ¿Dóndе se aprende a querer? Quisiera que me perdone', aunque yo no lo sé hacer Quiero darte la razón, pero es que odio perder ¿Dónde se aprende a querer? ¿Dónde se aprende a querer? Quisiera que me perdone', aunque yo no lo sé hacer Quiero darte la razón, pero es que odio perder, ma' Te juro que no entiendo cómo es que to' lo que toco Se va derrumbando poco a poco Tranquila, que no fue tu culpa, ya yo estaba roto La casa en silencio, pero en mi cabeza un alboroto Y yo aquí esperando pa' que vuelva y pase' Le faltan fundamento' a tus base' Como si estuvieras esperando a que fracase Pasó tan de repente así como dos estrella' fugace' Fue tan rápido que siento que ni llegué a conocerla La vi ayer y me costó reconocerla ¿Pero qué más da? Si esto no va a hacer que vuelva Yo echándole gasolina sin saber que ella era un Tesla Si ya estoy en el piso, ¿pa' qué vuelves y me pisa'? Sigo confundiendo sus gemido' con la brisa Camino de la'o a la'o, parezco un parabrisa' Y los recuerdos con el tiempo se borran como la tiza Promesa' incompleta', más letra' en la libreta Pero por dentro estoy podrido con el alma hueca Y ahora jangueamos separao' aunque estamo' en la misma discoteca No vo'a poder llevarte a restaurantes Michelín Ni escribirte una cartita pa' San Valentín Te dedico esta canción y esta botella de gin Y si fuera por mí, no, pero esto llegó a su fin"
TOMORROW X TOGETHER - Sugar Rush Ride,2,,71,,11316092,18804589,TOMORROW X TOGETHER,Sugar Rush Ride,"Yeah, ah-ah-ah-ah (Ayy) let's go 생각은 곧 숨을 멈췄어, when you get back 내 다짐 따윈 한순간 풀어 헤쳐져 네겐 (oh-oh, oh, oh) Come a little closer (oh-oh, oh, oh), 넌 속삭여 (oh-oh, oh, oh) 삼켜버려, the sugar rush (oh-oh, oh, oh) 밤하늘에 향연 (oh-oh, oh, oh), sweet desire (oh-oh, oh, oh) 꿈에 데려가는 침대맡에 liar I can feel 거부할 수가 없어 달콤한 그 devilish smile 넌 능숙히 잠긴 내 문을 열어 어떡해? 저 별이 보여 (the devil said) Ha, ha Gimme, gimme more, gimme, gimme more Ha, ha 이리 와서 더, 같이 놀자 더 (get away) Sugar rush-ush, sugar rush-ush-uh, sugar rush-ush, sugar rush-ush, ah Gimme, gimme more, gimme, gimme more Sugar rush-ush, sugar rush-ush-uh, sugar rush-ush, sugar rush-ush, ah 이리 와서 더, 업고 놀자 더 You're so addictive, 내 혈관은 full of sweets 금지된 선들이 희미하게 사라져 가지 빈혈 같은 이 daze 오히려 그게 좋아 난 살갗 아래 모든 세포가 더 예민해져 가 (oh-oh, oh, oh) Come a little closer (oh-oh, oh, oh), 넌 속삭여 (oh-oh, oh, oh) 삼켜버려, the sugar rush (oh-oh, oh, oh) 밤하늘에 향연 (oh-oh, oh, oh), sweet desire (oh-oh, oh, oh) 꿈에 데려가는 침대맡에 liar I can feel 거부할 수가 없어 달콤한 그 devilish smile 넌 능숙히 잠긴 내 문을 열어 어떡해? 저 별이 보여 (the devil said) Ha, ha Gimme, gimme more, gimme, gimme more Ha (yeah), ha (oh) 이리 와서 더, 같이 놀자 더 (get away) Sugar rush-ush, sugar rush-ush-uh, sugar rush-ush, sugar rush-ush, ah (ayy) Gimme, gimme more, gimme, gimme more Sugar rush-ush, sugar rush-ush-uh, sugar rush-ush, sugar rush-ush, ah (oh-oh-oh) 이리 와서 더, 업고 놀자 더 나빠 넌, liar, 내게 너 뭘 한 거야, sugar? (Oh, yeah) Gimme, gimme more, gimme, gimme more (ooh-ooh-ooh) 나쁜 건 나야, 알아, 못된 desire, sugar Gimme, gimme more, gimme, gimme more 나빠 넌, liar, 내게 너 뭘 한 거야, sugar?"
Kanye West - 24,2,,43,,12955187,18790125,Kanye West,24,"Dear God, make it alright, only You can make it alright Dear Lord, make it alright, nothing else ever feels right Dear God, make it alright, nothing else ever feels right Nah, nah, nah, nothing else ever feels right Exhausted, never the right time to go God, I done my time to go Never the right time to go God loves you Love when you choose your steps Gotta make it right before you left Gotta make it right before you– Everybody wanna feel like everything gon' be right New me over the old me Let it out, let it all out God, please set it alright Make it right, now that feels right Nothing else ever feels right Nothing else ever feels right Save me, yeah, make it alright Bow our heads 'cause it's alright, alright, mmh 24 hours, 24 candles, 24 hours Yeah, yeah Yeah, yeah, yeah, yeah, yeah Throw our hands up in the sky Yes, Lord, we put 'em high Yeah, yeah Yeah, yeah Yeah, know you alive and God's not finished Know you alive and God's step's finished But know you alive and God's not finished We know you alive and God, ay The Devil's a lie and now he fini– The Devil's a lie and now he fi– Devil's a lie and now he finis– Throw our hands up in the sky Yes, Lord, we put 'em high We gonna be okay, we gonna be okay We gonna be okay, we gonna be okay We gonna be okay, we gonna be okay God's not finished, God's not finished God's not finished, God's not finished God's not finished, God's not finished God's not finished, God's not finished Now we gon' be okay, we gonna be okay We gonna be okay, we gonna be okay God's not finished, God's not finished God's not finished We gonna be okay Throw our hands up in the sky Yes, Lord, we put 'em high Oh-oh-oh-oh, oh-oh"
SIENNA SPIRO - Great Expectation,2,,123,,9539245,18758614,SIENNA SPIRO,Great Expectation,"In my head, you lay down next to me Kiss my lips, hold me carefully Say goodbye and feel all the withdrawals But it's not the same in reality I say your name, but you don't get back to me 'Til you got something you need me for So I sing just to know I'm alive And I cried all the tears I could cry If happiness is just an illusion You were the best I ever had If you can't be what I want And the things you say are true All I need is the great expectation of you Expectation of you The tracks of my tears go back for years When I was young, I've always had the fears One would leave, so I held on so long But to еach their own, you come and go a lot It's black and white, but I go back and change the plot Just to have you in the way I want, so I Sing just to know I'm alive (I sing, so I) And I cried all the tears I could cry (I cried for you) If happiness is just an illusion You were the best I ever had If you can't be what I want (be what I want) And the things you say are true (are true, yeah, true) All I need is the great expectation of you, oh Cry my tears and let 'em dry (mm, expectation of you) Cry my tears and testify You exist inside my mind You, so So I sing just to know I'm alive And I cried all the tears I could cry (I cried for you) If happiness is just an illusion You were the best I ever had (best I had) If you can't be what I want (be what I want) And the things you say are true (are true, yeah, true) All I need is the great expectation of you All I need is All I need is you"
"Tyler, The Creator - LUMBERJACK",2,,43,,11756283,18733017,"Tyler, The Creator",LUMBERJACK,"Rolls-Royce pull up, Black boy hop out Shoutout to my mother, and my father didn't— (hold up) ""Oh, my God, I never seen nothin' like this"" Haha, that's what my mom was sayin' She, she was cryin' and shit It was, she was just like, ""This shit is beautiful"" It was a beautiful moment You alway– you always keep the picnic blankets in the back 'Cause you, you never know (Gangsta Grillz) You never know where the fuck you gon' end up at (Okay, haha, let's go, now we ready) Rolls-Royce pull up, Black boy hop out Shoutout to my mother, and my father didn't pull out MSG sell out, fuck these niggas yap 'bout? Whips on whips, my ancestors got they backs out (yeah, oh) Too far? Five hundred stacks for the hood (I dare you, nigga) Call me lumberjack 'cause I wish a nigga would race (uh-huh, right) Do it like I? This the wish-a-nigga-could face (uh) They ain't gettin' paper like they should, wait (You niggas woulda, coulda, shoulda, oh, shit) Niggas ain't really on the type of shit he on I hit Drizzy and told him I had a milli' for him (oh shit) I own my companies full, told 'em to keep the loan I took that gold bitch home, niggas was big mad (ugh, oh shit) I put that bitch on the shelf to let it ventilate And bought another car 'cause I ain't know how to celebrate (top shelf, nigga) That big boy, that big bitch for all weather It never rain in Cali', came with an umbrella (ooh) Rolls-Royce pull up, Black boy hop out (man, what the fuck?) Shoutout to my mother, and my father didn't pull out MSG sell out, fuck these niggas yap 'bout? (Sold out) Good credit score, this card really can't max out (wow) Too far? Five hundred stacks for the hood Call me lumberjack 'cause I wish a nigga would race (uh-huh) Nigga this the face, man I wish a nigg— (it's the face) It's different, it's really different (catch up, niggas) Ayo, I might just sled in Utah, LA is too warm My nigga tall, he look like a bitch, I call him Mulan (hey, oh) Salad colored emerald on finger, the size of croutons Niggas can not fuck with performance of magic (oh) new wand (nigga) That's my nuance, used to be the weirdo (ah) Used to laugh at me, listen to me with their ears closed Used to treat me like that boy off Malcolm in the Middle (why I'm motherfuckin' rich) Now I'm zero, zero, zero, zero, zero, zero (that's six) Rolls-Royce pull up (zero) Black boy hop out (that's seven) Nah, I can't take this shit no more, man, I quit That's it, I quit, I swear to God, nigga Fuck niggas talking to me about? Close y'all fuckin' faces Quality Wednesday music Wish-a-nigga-could face (Them stones is cloudy, nigga) Oh yeah, you asked for it (Fuckin' crumbs) Wish-a-nigga-would face Fuck you mean, nigga?"
Logic - Contra,3,,45,,9642641,18725964,Logic,Contra,"Yeah, yeah The tunes on here? That shit sound good Let's go Yeah, yeah, yeah Bitch, I've been blowin' up (bitch I've been blowin' up) Everyone showin' up, where was you in the beginnin'? I know that they're showin' up (know that they're showin' up) Only come around and fuck with me when the boy winnin' No, you do not know enough (you do not know it) You do not know a thing about this life that I'm livin' You've never been low enough (never been low enough) Yeah I was born at the bottom, everything I'm given now (yeah, yeah, yeah) Bitch, I've been blowin' up (bitch I've been blowin' up) Everyone showin' up, where was you in the beginnin'? I know that they're showin' up (know that they're showin' up) Only come around and fuck with me when the boy winnin' No, you do not know enough (you do not, you do not, you do not) You do not know a thing about this life that I'm livin' You never been low enough (never been low) Yeah I was born at the bottom, everything I'm given now (yeah, yeah, yeah) Bobby, tell me who really 'bout it Bitch, I got it, not a single person work harder than Bobby Just wrote a novel, starrin' in a movie Built another business while you at the party Ain't one to flex, but yeah I'm finna flex I just parked that new i8 right next to the Audi Copped that G-Wagon right there for my shawty Yeah now they know the name, yeah, they know Bobby Yeah, get it like, get it like, get it like, get it like me, nah Handout, palm up, you cannot get this shit here for free, nah Bobby done put in that work, you gon' pay me a fee, nah I said Bobby been livin' that life and you know, I said Bitch, I've been blowin' up (bitch I've been blowin' up) Everyone showin' up, where was you in the beginnin'? I know that they're showin' up (know that they're showin' up) Only come around and fuck with me when the boy winnin' No, you do not know enough (you do not know it) You do not know a thing about this life that I'm livin' You've never been low enough (never been low enough) Yeah I was born at the bottom, everything I'm given now (yeah, yeah, yeah) Bitch, I've been blowin' up (bitch I've been blowin' up) Everyone showin' up, where was you in the beginnin'? I know that they're showin' up (know that they're showin' up) Only come around and fuck with me when the boy winnin' No, you do not know enough (you do not, you do not, you do not) You do not know a thing about this life that I'm livin' You never been low enough (never been low) Yeah I was born at the bottom, everything I'm given now (yeah, yeah, yeah) Let that bitch breathe Most of these people can't never ever comprehend all the shit that I've seen I am polite than a mothafucka, but when I grip that mic, I get mean Come now, you know what I mean Pepe done got the boy lean Yeah you could doubt me, say what you want 'bout me But I am a rappin' machine I do this shit for the team Shit for the squad, I'm livin' the dream Yes I am livin' the dream, hold up, wait up Just can't believe Just can't believe that my swag is on another level Yeah, I keep it G Matter of fact, I keep it, I keep it, I keep it, I keep it M Turn that shit upside down, now it's a W No, no, ain't nobody fuckin' with him Don't matter who come stand next to me Once I'm surrounded ain't nobody fuckin' with them I am the best of the best of the best Of the best of the best of the best like Men In Black Greatest alive, bitch, I've been that If you don't agree, you'll get kidnapped Bitch slapped, thrown back like woo Yeah, get it like, get it like, get it like, get it like me, nah Handout, palm up, you cannot get this shit here for free, nah Bobby done put in that work, you gon' pay me a fee, nah I said Bobby been livin' that life and you know, I said Bitch, I've been blowin' up (bitch I've been blowin' up) Everyone showin' up, where was you in the beginnin'? I know that they're showin' up (know that they're showin' up) Only come around and fuck with me when the boy winnin' No, you do not know enough (you do not know it) You do not know a thing about this life that I'm livin' You've never been low enough (never been low enough) Yeah I was born at the bottom, everything I'm given now (yeah, yeah, yeah) Bitch, I've been blowin' up (bitch I've been blowin' up) Everyone showin' up, where was you in the beginnin'? I know that they're showin' up (know that they're showin' up) Only come around and fuck with me when the boy winnin' No, you do not know enough (you do not, you do not, you do not) You do not know a thing about this life that I'm livin' You never been low enough (never been low) Yeah I was born at the bottom, everything I'm given now (yeah, yeah, yeah)"
Taylor Swift - Cornelia Street,2,,35,,12625774,18724625,Taylor Swift,Cornelia Street,"We were in the backseat Drunk on something stronger Than the drinks in the bar ""I rent a place on Cornelia Street"" I say casually in the car We were a fresh page on the desk Filling in the blanks as we go As if the streetlights pointed in an arrowhead Leading us home And I hope I never lose you Hope it never ends I'd never walk Cornelia Street again That's the kind of heartbreak time could never mend I'd never walk Cornelia Street again And baby, I get mystiﬁed by how This city screams your name And baby, I'm so terriﬁed of if you ever walk away I'd never walk Cornelia Street again I'd never walk Cornelia Street again Windows ﬂung right open Autumn air, jacket round my shoulders is yours We bless the rains on Cornelia Street Memorise the creaks in the ﬂoor Back when we were card sharks, playing games I thought you were leading me on I packed my bags, left Cornelia Street Before you even knew I was gone But then you called Showed your hand I turned around before I hit the tunnel Sat on the roof, you and I I hope I never lose you Hope it never ends I'd never walk Cornelia Street again That's the kind of heartbreak time could never mend I'd never walk Cornelia Street again And baby, I get mystiﬁed by how This city screams your name And baby, I'm so terriﬁed of if you ever walk away I'd never walk Cornelia Street again I'd never walk Cornelia Street again You hold my hand on the street Walk me back to that apartment Years ago we were just inside Barefoot in the kitchen Sacred new beginnings That became my religion Listen... I hope I never lose you I'd never walk Cornelia Street again Oh, never again And baby, I get mystiﬁed by how this city screams your name And baby, I'm so terriﬁed of if you ever walk away I'd never walk Cornelia Street again I'd never walk Cornelia Street again I don't wanna lose you (hope it never ends) I'd never walk Cornelia Street again I don't wanna lose you (yeah) ""I rent a place on Cornelia Street"" I said casually in the car"
Taylor Swift - Call It What You Want,3,,47,,8832057,18707023,Taylor Swift,Call It What You Want,"My castle crumbled overnight I brought a knife to a gun fight They took the crown, but it's alright All the liars are calling me one Nobody's heard from me for months I'm doing better than I ever was 'Cause My baby's fit like a daydream Walking with his head down I'm the one he's walking to So call it what you want, yeah Call it what you want to My baby's fly like a jet stream High above the whole scene Loves me like I'm brand new So call it what you want, yeah Call it what you want to All my flowers grew back as thorns Windows boarded up after the storm He built a fire just to keep me warm All the drama queens taking swings All the jokers dressing up as kings They fade to nothing when I look at him And I know I make the same mistakes every time Bridges burn, I never learn At least I did one thing right I did one thing right I'm laughing with my lover Making forts under covers Trust him like a brother Yeah, you know I did one thing right Starry eyes sparking up my darkest night My baby's fit like a daydream Walking with his head down I'm the one he's walking to So call it what you want, yeah Call it what you want to My baby's fly like a jet stream High above the whole scene Loves me like I'm brand new So call it what you want, yeah Call it what you want to I want to wear his initial On a chain 'round my neck Chain 'round my neck Not because he owns me But 'cause he really knows me (Which is more than they can say) I recall late November Holding my breath, slowly I said You don't need to save me But would you run away with me? Yes My baby's fit like a daydream Walking with his head down I'm the one he's walking to So call it what you want, yeah Call it what you want to My baby's fly like a jet stream High above the whole scene Loves me like I'm brand new So call it what you want, yeah Call it what you want to (Call it what you want) (Call it what you want, call it) (Call it what you want) (Call it what you want, call it) (Call it what you want) (Call it what you want, call it) (Call it what you want) (Call it what you want, call it) (Call it what you want) (Call it what you want, call it) Call it what you want, yeah Call it what you want, to"
MC G15 - Deu Onda,5,,79,,5062130,18683861,MC G15,Deu Onda,"Vem, vem, vem Ai, caralho! Solta, solta DJ, vai! Eu preciso te ter (vai!) Meu fechamento é você, mozão Eu não preciso mais beber E nem fumar maconha Que a sua presença me deu onda O seu sorriso me dá onda Você sentando, mozão, me deu onda Que vontade de fuder, garota Eu gosto de você, fazer o quê? Meu pau te ama Que vontade de fuder, garota Eu gosto de você, fazer o quê? Meu pau te ama, é Meu pau te ama Meu pau te ama, é Meu pau te ama Ai, caralho! Vem, vem, vem Vem, vem, vem Vem, vem, vem Vem, vem, vem Vem, vem, vem Vem, vem, vem Eu preciso te ter (vai!) Meu fechamento é você, mozão Eu não preciso mais beber E nem fumar maconha Que a sua presença me deu onda O seu sorriso me dá onda Você sentando, mozão, me deu onda Que vontade de fuder, garota Eu gosto de você, fazer o quê? Meu pau te ama Que vontade de fuder, garota Eu gosto de você, fazer o quê? Meu pau te ama, é Meu pau te ama Meu pau te ama, é Meu pau te ama Ai, caralho! Vem, vem, vem Vem, vem, vem Vem, vem, vem Vem, vem, vem Vem, vem, vem Vem, vem, vem Vem, vem, vem"
Lady Gaga - Do What U Want,9,,21,,2386893,18680317,Lady Gaga,Do What U Want,"Ohh Yeah, yeah Ohh, oh-oh Oh I, I feel good I walk alone But then I trip upon myself and I fall I, I stand up, and then I'm okay But then you print some shit that makes me wanna scream So do what you want, what you want with my body Do what you want, don't stop, let's party Do what you want, what you want with my body Do what you want, what you want with my body Write what you want, say what you want 'bout me If you're wondering, know that I'm not sorry Do what you want, what you want with my body What you want with my body You can't have my heart and, you won't use my mind But do what you want with my body Do what you want with my body You can't stop my voice, 'cause you don't own my life But do what you want with my body Do what you want with my body My bones hurt from all the shows, hmm But I don't feel the pain, 'cause I'm a pro I, I sink in Then I'm okay 'Cause my body belongs to you when, I'm on stage Hey So do what you want, what you want with my body Do what you want, don't stop, let's party Do what you want, what you want with my body Do what you want, what you want with my body Write what you want, say what you want 'bout me If you're wondering, know that I'm, not sorry Do what you want, what you want with my body What you want with my body You can't have my heart and, you won't use my mind But do what you want with my body Do what you want with my body You can't stop my voice, 'cause you don't own my life But do what you want with my body Do what you want with my body Sometimes I'm scared, I suppose, if you ever let me go I would fall apart if you break my heart So just take my body, and don't stop the party, ohh You can't have my heart and (help me now) You won't use my mind But do what you want with my body Do what you want with my body You can't stop my voice, 'cause You don't own my life But do what you want with my body Do what you want with, my body Do what you want with me What you want, Lady Gaga What you want with me, Christina What you want with my body Do what you want with me What you want with my body Do what you want with me What you want with my body, world Help me now What you want with my body, world Do what you want with my body Do what you want with my body"
"Tyler, The Creator - SORRY NOT SORRY",2,,105,,9889909,18680068,"Tyler, The Creator",SORRY NOT SORRY,"Pardon me, excusez-moi (I'm sorry) Yeah, I coulda made a better choice I mean, what the fuck? I'm sorry I'm fucking sorry Yeah I'm sorry, I'm sorry I don't see you more I'm sorry that the four minutes where you see your son could feel like a chore Sis', I'm sorry I'm your kin Sorry we ain't close as we should've been Sorry to my old friends The stories we coulda wrote if our egos didn't take the pen Sorry to the freaks I led on (nah, for real, I'm sorry) Who thought their life was gonna change 'cause I gave 'em head on But instead, I sped off, yeah, I know I'm dead wrong Sorry to the guys I had to hide (ooh) Sorry to the girls I had to lie to Who ain't need to know if I was by the lake switchin' tides, too (tides) Anyway, I don't wanna talk (ooh) Sorry if you gotta dig for info I don't wanna give So you stalk, make up fibs Just to talk about my private life 'cause you're weird (uh) Met that girl this year (but), that's none ya biz Give enough with my art, know your place My personal space, y'all don't need to to be a part I'm sorry I don't wanna link and small talk over dinner I don't even drink, can't guilt trip me, I'm ice cold, roller rink Nigga-nigga-nigga, read the room Don't assume niggas is cool Stay in your pocket, this is pool Blah, blah, blah, blah 'bout trauma You ain't special, everybody got problems, uh Sorry I'm not empathetic (nah, I'm fuckin') Sorry you think I'm pathetic Sorry I don't wanna bro down Sorry I don't know your pronouns I don't mean no disrespect But, damn, we just met, calm the fuck down Oh, I'm out of touch and I'm a jerk? A bank account could never match my worth (that nigga gettin' money, he a dick now) Sorry, Mother Earth Polluted air with chemicals and dirt These cars ain't gonna buy and drive themselves What the hell you think I work for? Not to not explore and stay the same (I'm sorry) Sorry to the fans who say I changed, 'cause I did Sorry you don't know me on a personal level to pinpoint what it is I'm sorry to my ancestors (I'm so sorry), I know I'm supposed to fight (I know) But this ice shinin' brighter than a black man's plight, I'ma make it right In the meantime, I'll give some advice while these blood diamonds gettin' cleaned off Nigga, fuck the price, spend it then, then again, I can't save niggas I'm not Superman, but I could try I'm sorry I'm pretentious Sorry that the talent, knowledge, passion isn't missin' Sorry when I talk my shit and I could back it up with confidence It get you niggas trippin', man Fuck the numbers, fuck a hook You put me on a stage and I'll show you the difference Let me see y'all hit a stage (no, y'all can't do it) Let me see y'all write a page (y'all not gon' do it) Let me see you make a decision I made And claim that I don't know about minimum wage or Section 8 Water in the ketchup bottle to stretch when niggas ate Gettin' pressed by niggas hoppin' gates Thinkin' it's normal 'cause you ain't supposed to make it pastù Eighteen or escape the Figure 8 cycle When I promise this is like a diet, I'ma make a way and I did, did Feel good, work paid off, now we gon' celebrate But niggas claim you arrogant when they can't relate to moments of feelin' great So they aim, duck-duck-duck 'em Shot right back, buck-buck-buck 'em Sorry, not sorry (buck 'em, buck 'em) I got two words, fuck 'em Okay, cool And like that We really mean it this time I guarantee another era is upon us So once again, we gone"
Victor Mendivil - Orula,2,,132,,9484503,18668313,Victor Mendivil,Orula,"It's Wicked Outside Orula represents intelligence and wisdom No tengo el almanaque de Volver al Futuro Pero para hacer feria en la lista soy el más duro No son de porcelana ni uso un crucifijo Por eso el diablo ayuda a escoger todo lo que elijo Me receta pensamientos el de pata de mula Estoy en número uno, fue por la mano de Orula Satanás me ayuda mucho, creo que ya se dieron cuenta Por eso en fin de mes compro casa y dejo la renta Si ven que un día mato a un cura es porque ya estaba planeado Y lo grabo y subo a Reddit con fotos suyas a un lado Es que tengo una condición que el dinero me hace olerlo Y que me perdone Dios, pero el diablo me hizo hacerlo Consultas y tratos turbios con seres de otra galaxia Cumpliendo las profecías que no entienden tu ignorancia Presidentes, tipos malos, diarios me mandan regalos Y yo dando una entrevista loqueando con Jimmy Fallon Textos hebreos que revelan secretos que no te imaginas Viajes en los que te mueres y vuelves con otra vida Yo canto lo que yo quiera, no lo que la disquera omita En el cerro meditando con Jacobo y con Pachita En la sala de mi casa está la espada de Damocles Tercer ojo, abre mi mente y en lo malo no te enfoques Estoy viviendo con los monstruos, como los del Equipo Rocket Plantas del Jardín del Edén son las que me forjo en mi toque No tengo el almanaque de Volver al Futuro Pero para hacer feria en la lista soy el más duro No son de porcelana ni uso un crucifijo Por eso el diablo ayuda a escoger todo lo que elijo Me receta pensamientos el de pata de mula Estoy en número uno, fue por la mano de Orula Satanás me ayuda mucho, creo que ya se dieron cuenta Por eso en fin de mes compro casa y dejo la renta En Perú, entre las montañas a Pakkos uso de clica Tomando una ayahuasca hasta el tope en un vaso inca Venden simulaciones, ni ilusión que les fabrican Tengo demonios y santos que en buenas y malas brincan Si ven que estoy disociado, es por el ácido del Grace Y ahora me verán hablando al estilo de Brian Tracy Abierto el tercer ojo, parecido a Ten Shin Han Ahí les paso recados cuando ande por el Mictlán Estoy rompiendo las copas con el cuenco tibetano Se asustan los gitanos cuando me leen las manos Pa sacrificar personas nos ayudan los haitís Platicamos tantas cosas nada más con la latis Me dan brotes psicóticos si peyote me meto Nunca les juro en vano y mucho menos les prometo Ya hablé con Belcebú y me contó un muy buen secreto Contaría si me entendieran, lo dijo en otro dialecto No tengo el almanaque de Volver al Futuro Pero para hacer feria en la lista soy el más duro No son de porcelana ni uso un crucifijo Por eso el diablo ayuda a escoger todo lo que elijo Me receta pensamientos el de pata de mula Estoy en número uno, fue por la mano de Orula Satanás me ayuda mucho, creo que ya se dieron cuenta Por eso en fin de mes compro casa y dejo la renta"
